University,Department,Overall Pay,LW Ratio,Academic Year,Program Year,Comments
University of Pennsylvania,BGS,"$38,000",1.58,2021-2022,1st,
University of Pennsylvania,BGS,"$38,000",1.58,2021-2022,1st,
University of Nevada - Reno (UNR),Management,"$24,500",1.17,2022-2023,,
Clark University,Genocide Studies,"$22,000",0.98,2021-2022,1st,
University of Wisconsin - Madison (UW),Physics,"$29,429",1.29,2020-2021,3rd,
University of Wisconsin - Madison (UW),Physics,"$29,973",1.31,2020-2021,3rd,
University of Massachusetts - Amherst (UMass),Chemical Engineering,"$33,500",1.46,2022-2023,1st,
Johns Hopkins University (JHU),Pathobiology,"$34,000",1.32,2020-2021,1st,
University of Texas - Austin (UT),Material Science & Engineering,"$26,990",1.18,2022-2023,1st,
Stony Brook University - SUNY,,"$33,000",1.18,2022-2023,1st,"22,500 base + 5500 Graduate Council Fellowship + 5000 Turner Fellowship. Also tuition, fees, and insurance."
University of California - Merced,Cognitive and Information Sciences,"$2,000",0.10,2022-2023,1st,
New York University (NYU),Social Work,"$-40,000",-1.35,2022-2023,1st,
University of Minnesota - Twin Cities (UM),Psychology,"$23,500",1.03,2020-2021,6th and up,"For newer cohorts, summer funding is now guaranteed. For existing cohorts, summer funding is still competitive. However, if you work with a faculty member who gets grants a lot, they cover your summer funding so you don't need to worry about applying for competitive funding."
University of North Carolina - Chapel Hill (UNC),Nutrition,"$30,200",1.36,2020-2021,3rd,"Covers fees and health insurance, no teaching responsibilities."
University of North Carolina - Greensboro (UNCG),Nanoscience,"$24,000",1.12,2021-2022,2nd,
,department of mathematics and statistics,"$1,800",,2020-2021,1st,
"University at Albany, State University of New York",department of mathematics and statistics,"$1,800",,2020-2021,1st,
Stanford University (SU),Neurosciences,"$48,216",1.68,2022-2023,1st,
University of North Carolina - Chapel Hill (UNC),Environmental Science and Engineering,"$26,018",1.17,2021-2022,1st,
University of North Carolina - Chapel Hill (UNC),Environmental Science and Engineering,"$26,018",1.17,2021-2022,1st,
Arizona State University (ASU),,"$18,714",0.84,2021-2022,1st,
University of Southern California (USC),Public Policy,"$32,500",1.26,2022-2023,1st,"Includes standard health insurance, tuition, and ""almost all fees"""
University of Maryland - College Park (UMD),Sociology,"$27,694",0.92,2022-2023,1st,Dean's Fellowship $5000
University of California - Davis (UCD),Sociology,"$11,344",0.47,2021-2022,1st,International Student. Department can't waive first year's outrageous NRST fee.
University of Arizona (U of A),Sociology,"$19,683",0.95,2021-2022,,International Student.
University of Rhode Island (URI),Graduate School of Oceanography,"$33,904",1.49,2020-2021,2nd,
University of Southern California (USC),Gerontology,"$38,000",1.47,2022-2023,1st,
University of Washington (UW),Computer Science,"$32,000",1.37,2020-2021,1st,
University of Missouri - St. Louis,Clinical psychology,"$16,000",0.77,2020-2021,1st,
University of Chicago (UC),Anthropology,"$33,000",1.36,2022-2023,1st,"Student Fees covered. Health insurance premium covered, out of pocket for vision and dental. 9 years coverage, tuition waived, 3 quarters of TA ship required"
Vanderbilt University,Psychology,"$32,000",1.39,2021-2022,5th,Constant pay level throughout PhD program
University of Rochester (UR),Neuroscience,"$33,505",1.57,2020-2021,3rd,
University of Vermont (UVM),Food Systems,"$28,100",1.08,2022-2023,1st,
,Educational Psychology,"$15,500",,2021-2022,1st,
Virginia Commonwealth University (VCU),Educational Psychology,"$15,500",0.62,2021-2022,1st,
Georgia State University (GSU),economics,"$24,000",1.03,2020-2021,1st,
University of Georgia (UGA),BCMB,"$28,500",1.35,2021-2022,3rd,I'm technically a Psychology PhD student but funded on a grant in Biology.
St. Louis University (SLU),,"$18,000",0.87,2020-2021,,
,,"$18,000",,2020-2021,,
Cornell University (CU),"Weill Cornell Graduate School, Immunology and Microbial Pathogenesis","$46,500",1.92,2021-2022,4th,"$43500 of this is stipend, and $3000 of this is TA pay."
University of Wisconsin - Madison (UW),Physics,"$28,800",1.26,2020-2021,1st,
University of California - San Diego (UCSD),Sociology,"$29,400",1.11,2020-2021,3rd,GSR
Johns Hopkins University (JHU),ECE,"$28,958",1.13,2020-2021,2nd,
Loyola University Chicago (LUC),English PhD,"$27,800",1.15,2021-2022,,"Up until this year, the stipend started at $18,000 and increased by $500 every year."
University of California - Berkeley,Statistics,"$41,800",1.51,2022-2023,1st,
University of Wisconsin - Madison (UW),Engineering Physics,"$28,263",1.24,2020-2021,3rd,
North Carolina State University (NCSU),Chemistry,"$23,000",1.01,2020-2021,4th,
University of North Carolina - Chapel Hill (UNC),Classics,"$16,000",0.72,2021-2022,3rd,"Tuition, fees, and health insurance are covered by the program. Teaching (TA/TF) is required each semester, unless on fellowship. One or two summer teaching positions are available each year; most students only have the opportunity to teach in the summer once. Our funding comes directly from the department's teaching budget (thanks, UNC!), which is why we are paid below the poverty line in Orange county ;)"
Vanderbilt University,Microbe Host Interactions (IGP),"$32,500",1.42,2020-2021,3rd,
Rutgers the State University of New Jersey - New Brunswick,History,"$24,500",0.95,2021-2022,6th and up,
University of Washington (UW),Computer Science,"$18,318",0.79,2021-2022,2nd,
University of Wisconsin - Madison (UW),Physics,"$30,726",1.35,2020-2021,5th,
Harvard University (HU),Organizational Behavior,"$43,680",1.52,2021-2022,2nd,
University of Chicago (UC),Biology,"$27,750",1.27,2011-2012,1st,
University of Wisconsin - Madison (UW),Physics,"$27,690",1.21,2021-2022,3rd,
Yale University (YU),Management,"$40,000",1.62,2021-2022,5th,"Just stipend, not including tuition which is also covered"
University of Wisconsin - Madison (UW),Physics,"$29,200",1.28,2020-2021,5th,
