University,Department,Overall Pay,LW Ratio,Academic Year,Program Year,Comments
University of Maryland - College Park (UMD),cosp,"$20,000",0.66,2019-2020,1st,
Stanford University (SU),"Earth, Energy & Environmental Systems","$46,000",1.60,2019-2020,1st,
University of Maryland - College Park (UMD),Computer Science,"$21,000",0.69,2019-2020,1st,
University of Minnesota - Twin Cities (UM),Political Science,"$25,180",1.10,2019-2020,1st,Average per year for 5 years
University of Chicago (UC),Political Science,"$34,500",1.42,2019-2020,1st,
Oregon Health and Science University,Molecular Microbiology and Immunology,"$30,000",1.28,2018-2019,,
University of Minnesota - Twin Cities (UM),MSTP,"$29,700",1.30,2018-2019,6th and up,
St. Jude Children's Research Hospital,Biomedical Sciences,"$37,050",,2019-2020,1st,https://www.stjude.org/education-training/st-jude-graduate-school-of-biomedical-sciences/benefits.htm l
University of Chicago (UC),Economics,"$42,000",1.73,2019-2020,1st,
Princeton University,Economics,"$39,400",1.55,2019-2020,1st,
Stanford University (SU),Earth System Science,"$47,000",1.64,2019-2020,1st,
University of California - San Diego (UCSD),Bioinformatics and Systems Biology(BISB),"$32,000",1.21,2019-2020,1st,Will probably accept.
California Institute of Technology (Caltech),Chemical Engineering,"$36,000",1.39,2018-2019,1st,
Purdue University - West Lafayette,Mathematics,"$15,370",0.73,2018-2019,1st,
University of Illinois - Urbana- Champaign (UIUC),Physics,"$23,460",1.07,2018-2019,6th and up,Stipend is split over 11 months.
Princeton University,Chemical Engineering,"$37,000",1.46,2019-2020,1st,
University of California - San Diego (UCSD),Information Technology,"$-900,000",-34.01,2018-2019,2nd,
University of Minnesota - Twin Cities (UM),MFA - Art,"$15,500",0.68,2019-2020,1st,
Vanderbilt University,Civil and Environmental Engineering,"$37,240",1.62,2015-2016,1st,"$27,240 TA + $10,000 UGF + health insurance + required fees"
Stanford University (SU),Civil and Environmental Engineering,"$41,004",1.43,2018-2019,2nd,
University of Texas - Austin (UT),Sociology,"$20,074",0.88,2018-2019,1st,"First two years funded at 20,074 including 5,000 for summer fellowship. Third year onward funded with 9-month stipend of 15,074."
University of Washington (UW),Public Policy,"$23,000",0.99,2019-2020,1st,20 hrs/week TA/RA
Oregon Health and Science University,Biomedical Engineering,"$37,500",1.60,2018-2019,3rd,Stipend + Annual ARCS Award
Oregon Health and Science University,Biomedical Engineering,"$31,500",1.35,2018-2019,3rd,
Oregon Health and Science University,Biomedical Engineering,"$31,500",1.35,2018-2019,3rd,
University of California - Santa Barbara (UCSB),Chemistry,"$30,000",1.14,2019-2020,1st,
University of California - Davis (UCD),chemistry,"$30,000",1.25,2019-2020,1st,
University of Washington (UW),,"$23,000",0.99,2019-2020,1st,
University of California - Irvine (UCI),Chemistry,"$29,843",1.02,2018-2019,2nd,Quarters spent as a TA trigger a mandatory fee for that quarter. $100 of the fee is reimbursed at the beginning of the school year.
University of Notre Dame (ND),Chemical Engineering,"$29,925",1.46,2018-2019,1st,+full health insurance and tuition
University of North Carolina - Chapel Hill (UNC),Environmental Sciences and Engineering,"$23,036",1.04,2018-2019,4th,Fees are for 12-month period and include health insurance
University of North Carolina - Chapel Hill (UNC),Environmental Sciences and Engineering,"$23,036",1.04,2018-2019,4th,Fees are for 12-month period
University of North Carolina - Chapel Hill (UNC),Environmental Sciences and Engineering,$119,0.01,2018-2019,4th,Fees are for 12-month period
University of Pennsylvania,Sociology,"$34,648",1.44,2019-2020,1st,"5 years funding with Benjamin Franklin/Fontaine Fellowship- $29,678 for 10 months- $4,880 for summers. TA-ship for years 2 and 3, fellowship years are 1 and 4, unknown about year 5"
Princeton University,Political Science (Politics),"$34,925",1.37,2019-2020,1st,Includes one time $500 unrestricted grant from the Political Economy program
University of California - Berkeley,Sociology,"$28,500",1.03,2019-2020,,"13k per semester, 1.5k summer funding."
Iowa State University (ISU),,"$26,000",1.22,2018-2019,1st,
University of Colorado - Boulder (UCB),English,"$23,825",0.93,2018-2019,5th,
Bentley University,Accounting,"$30,000",,2018-2019,1st,
Drexel University (DU),Business,"$23,000",0.95,2018-2019,1st,
Colorado State University (CSU),English,"$14,000",0.62,2018-2019,1st,
Colorado State University (CSU),English,"$14,000",0.62,2018-2019,1st,
Yale University (YU),Political Science,"$32,000",1.29,2019-2020,1st,
University of Texas - San Antonio (UTSA),Anthropology,"$10,500",0.51,2018-2019,2nd,
University of Illinois - Urbana- Champaign (UIUC),Chemistry,"$40,000",1.82,2019-2020,5th,Springborn Fellowship & NSF Fellowship
University of Illinois - Urbana- Champaign (UIUC),Chemistry,"$35,800",1.63,2016-2017,1st,Springborn Fellowship & NSF Fellowship
University of Illinois - Urbana- Champaign (UIUC),Chemistry,"$37,000",1.68,2016-2017,2nd,Springborn Fellowship & NSF Fellowship
University of Illinois - Urbana- Champaign (UIUC),Chemistry,"$37,000",1.68,2017-2018,3rd,Springborn Fellowship & NSF Fellowship
University of Illinois - Urbana- Champaign (UIUC),Chemistry,"$38,800",1.76,2018-2019,4th,Springborn Fellowship
University of Illinois - Urbana- Champaign (UIUC),Chemistry,"$38,800",1.76,2018-2019,4th,Springborn Fellowship
University of Texas - Dallas (UTD),Physics,"$22,500",1.04,2018-2019,2nd,
Illinois State University (ISU),English,"$13,600",0.60,2018-2019,4th,
University of California - Berkeley,Sociology,"$30,500",1.10,2019-2020,,"Funding for 6 years. Fellowship first 2 years, 1 semester of 5th year and 6th year. GSI/TA remainder."
Case Western Reserve University,BSTP,"$29,800",1.49,2019-2020,1st,
University of Chicago (UC),Anthropology,"$29,791",1.23,2019-2020,1st,
Columbia University (CU),,"$33,000",1.11,2018-2019,5th,
Georgia Institute of Technology (Georgia Tech),Economics,"$192,840",8.28,2018-2019,2nd,"Parking is $700-$800/year, cheapest campus housing option is $13,200/year. School is located in Midtown Atlanta, GA, and rent nearby off-campus is even higher than 13,200/year unless you A) live far away (which I do) and risk long commute times, or B) live in notably high-risk and low-income areas where students are robbed regularly."
Syracuse University,,"$25,900",1.21,2018-2019,3rd,
University of Illinois - Urbana- Champaign (UIUC),Geography and GIS,"$21,528",0.98,2018-2019,4th,Fees are About $500/semester not covered by tuition waivers. Includes heath and fitness center fees (is mandatory) Summer is for 2 month ta-ship for summer 8 week class
University of California - San Diego (UCSD),Philosophy,"$24,000",0.91,2019-2020,1st,
University of Wisconsin - Madison (UW),Philosophy,"$21,000",0.92,2019-2020,1st,
Brown University,Philosophy,"$35,000",1.54,2019-2020,1st,"This includes a $3,500 additional stipend for female students."
University of Delaware (UD),Biological Sciences,"$26,666",1.05,2019-2020,,
University of Delaware (UD),Biological Sciences,"$26,666",1.05,2019-2020,,
University of Delaware (UD),biological sciences,"$26,666",1.05,2019-2020,,
University of Delaware (UD),biological sciences,"$26,666",1.05,2019-2020,,
University at Buffalo - SUNY,maths,"$26,000",1.24,2019-2020,1st,
University at Buffalo - SUNY,maths,"$21,000",1.00,2019-2020,1st,
University at Buffalo - SUNY,maths,"$20,800",0.99,2019-2020,1st,
University at Buffalo - SUNY,maths,"$20,800",0.99,2018-2019,,
University at Buffalo - SUNY,maths,"$20,800",0.99,2019-2020,1st,
University of Illinois - Urbana- Champaign (UIUC),Civil and Environmental Engineering,"$34,000",1.55,2018-2019,1st,On NSF GRFP stipend
Michigan State University (MSU),Political Science,"$25,000",1.22,2019-2020,,
University of North Carolina - Chapel Hill (UNC),Health Behavior,"$17,630",0.79,2018-2019,5th,
University of British Columbia,Computer Science,"$25,500",,2018-2019,1st,
Rutgers the State University of New Jersey - New Brunswick,Nutritional Sciences,"$29,000",1.12,2018-2019,3rd,
University of Illinois - Chicago (UIC),Biology,"$14,830",0.61,2018-2019,4th,Requires teaching undergrad courses. Which is fun and rewarding... but the university won’t even give us a contract...
University of California - Los Angeles (UCLA),Urban Planning,"$20,000",0.77,2019-2020,1st,
Duke University (DU),Nicholas School,"$29,350",1.32,2019-2020,1st,
Northwestern University (NU),political science,"$28,670",1.18,2018-2019,6th and up,
University of Texas - Austin (UT),Sociology,"$18,684",0.82,2018-2019,1st,
University of Denver (DU),International studies,"$17,000",0.76,2017-2018,1st,
University of Denver (DU),International studies,"$20,000",0.89,2018-2019,2nd,
University of Illinois - Urbana- Champaign (UIUC),Neuroscience,"$26,294",1.20,2018-2019,4th,"25% Research Assistantship funding from PI, 25% Interdisciplinary Environmental Toxicology Scholar fellowship (internal)"
University of Illinois - Urbana- Champaign (UIUC),Curriculum and Instruction,"$230,000",10.46,2018-2019,5th,
University of Illinois - Urbana- Champaign (UIUC),English,"$19,000",0.86,2018-2019,6th and up,
University of Texas - Austin (UT),History,"$24,000",1.05,2018-2019,1st,
University of Maryland - College Park (UMD),history,"$16,380",0.54,2018-2019,2nd,
Brown University,Egyptology and Assyriology,"$31,500",1.38,2019-2020,1st,
University of Illinois - Urbana- Champaign (UIUC),Environmental engineering,"$20,500",0.93,2018-2019,4th,
University of Florida (UF),Linguistics,"$13,500",0.59,2017-2018,1st,2k annual supplemental stipend for first 3 years
University of Oklahoma (OU),History,"$10,400",0.52,2018-2019,,
University of Illinois - Urbana- Champaign (UIUC),Physics,"$22,829",1.04,2018-2019,3rd,
University of North Carolina - Chapel Hill (UNC),Geography,"$14,200",0.64,2018-2019,5th,
,,"$25,600",,2018-2019,,
University of North Carolina - Chapel Hill (UNC),City and Regional Planning,"$17,100",0.77,2018-2019,2nd,
Northwestern University (NU),Philosophy,"$31,821",1.31,2018-2019,1st,
University of North Carolina - Chapel Hill (UNC),History,"$13,700",0.62,2018-2019,5th,
University of North Carolina - Chapel Hill (UNC),Environmental Sciences and Engineering,"$22,366",1.01,2018-2019,3rd,
University of California Santa Cruz,Psychology,"$2,100",,2018-2019,6th and up,Pay is decent but cost of living is very high in the Bay Area. Rent takes up half my income.
University of California Santa Cruz,Psychology,"$2,100",,2018-2019,6th and up,Pay is decent but cost of living is very high in the Bay Area. Rent takes up half my income.
New York University (NYU),Global public health,"$28,000",0.94,2018-2019,2nd,
University of Illinois - Chicago (UIC),Sociology,"$17,500",0.72,2018-2019,3rd,
University of Texas - Austin (UT),Educational Psychology,"$20,000",0.88,2018-2019,4th,
New York University (NYU),Public Health,"$28,000",0.94,2018-2019,2nd,
University of Illinois - Urbana- Champaign (UIUC),Civil and Environmental Engineering,"$22,600",1.03,2018-2019,1st,
University of Illinois - Urbana- Champaign (UIUC),Bioengineering,"$26,753",1.22,2018-2019,2nd,
University of Florida (UF),History,"$22,900",1.01,2018-2019,1st,This is the best fellowship the department offers at this time.
University of California - San Diego (UCSD),Ethnic Studies,"$25,000",0.94,2018-2019,1st,
University of California - San Diego (UCSD),,"$20,000",0.76,2018-2019,1st,
Baylor College of Medicine,Department of Environmental science,"$18,000",0.82,2018-2019,2nd,
University of North Carolina - Chapel Hill (UNC),Geography,"$14,000",0.74,2012-2013,3rd,
University of Michigan - Ann Arbor (UM),Anthropology and History,"$24,000",1.04,2019-2020,1st,
University of Illinois - Urbana- Champaign (UIUC),Environmental Engineering,"$20,500",0.93,2018-2019,4th,"Paid 11 months, entered as 9 months plus 2 summer months . Amounts are before taxes."
Yale University (YU),American Studies,"$30,000",1.21,2016-2017,5th,
Boston University (BU),School of theology,"$31,000",1.08,2018-2019,6th and up,
University of North Carolina - Chapel Hill (UNC),geography,"$19,764",0.89,2018-2019,3rd,
University of Kentucky (UK),Sociology,"$34,568",1.69,2019-2020,1st,
University of North Carolina at Chapel Hill,Anthropology,"$13,700",,2018-2019,3rd,
Duquesne University (DU),Philosophy,"$18,000",0.87,2018-2019,4th,
University of Texas - Austin (UT),African and African Diaspora Studies,"$20,500",0.90,2016-2017,3rd,
University of Texas - Austin (UT),African and African Diaspora Studies,"$16,500",0.72,2017-2018,4th,
University of Texas - Austin (UT),African and African Diaspora Studies,"$16,500",0.72,2018-2019,5th,
University of Pennsylvania,Education,"$25,000",1.04,2018-2019,5th,Includes health insurance
Michigan State University (MSU),English,"$15,742",0.77,2018-2019,1st,
Michigan State University (MSU),"Agriculture, Food and Resource Economics","$22,900",1.12,2018-2019,2nd,
University of California - Berkeley,Molecular and Cellular Biology,"$37,000",1.33,2019-2020,1st,MCB **
University of Wisconsin - Madison (UW),Genetics,"$28,000",1.23,2019-2020,1st,Genetics **
University of Michigan - Ann Arbor (UM),Program in Biomedical Sciences,"$31,632",1.37,2019-2020,1st,MCB **
Yale University (YU),Biological and Biomedical Sciences,"$36,550",1.48,2019-2020,1st,MCBGD **
San Diego State University (SDSU),Public Health,"$16,536",0.62,2019-2020,1st,
University of Washington (UW),English,"$23,098",0.99,2018-2019,2nd,"Guaranteed ""TAship"" funding (instructor of record) for 4 yrs if enter with MA or 5 yrs if enter without MA, some additional funding available after. No summer funding. Includes okay/mediocre medical/dental/vision. $330+ required quarterly fees."
University of Iowa (UI),Genetics,"$30,000",1.35,2019-2020,1st,
University of California - Berkeley,Geography,"$28,000",1.01,2018-2019,3rd,
Indiana University,English,"$14,430",0.67,2018-2019,3rd,We teach a 1-2 course load.
University of Texas - Austin (UT),American Studies,"$12,800",0.56,2018-2019,,
CUNY Graduate School and University Center,Comparative Literature,"$26,128",0.88,2019-2020,1st,365
University of Connecticut (UConn),physics,"$23,500",0.97,2019-2020,1st,
University of California - Berkeley,"Environmental Science, Policy, & Management","$30,000",1.08,2018-2019,3rd,University fellowship
University of Illinois - Chicago (UIC),History,"$18,000",0.74,2018-2019,6th and up,Fees kill the budget. Hard to find rent cheaper than $1000 a month. What this means is just about everyone has massive student loan debt.
Emory University,Religion,"$31,000",1.33,2018-2019,1st,
University of California - Berkeley,"Environmental Science, Policy, and Management","$33,075",1.19,2018-2019,1st,Working as a GSR 50% during the school year and 100% during the summer
Princeton Theological Seminary (PTS),History,"$30,000",1.18,2019-2020,1st,$25K of base stipend and $5K from a presidential scholarship. Tuition paid. Full health insurance for student.
Pennsylvania State University (Penn State),Counselor Education,"$14,000",0.76,2014-2015,1st,With health insurance+vision
Louisiana State University - Baton Rouge,,"$23,000",1.06,2018-2019,,
Brandeis University,Musicology PHD,"$24,500",0.88,2018-2019,1st,
University of Rochester (UR),Musicology PHD,"$15,000",0.70,2018-2019,1st,
University of California - Berkeley,ESPN,"$28,500",1.03,2017-2018,4th,
University of Virginia (UVA),BIMS,"$32,000",1.40,2019-2020,1st,
University of Virginia (UVA),BIMS,"$32,000",1.40,2019-2020,1st,
University of Oregon (UO),Political Science,"$15,000",0.71,2018-2019,5th,
Tulane University (TU),Philosophy,"$18,200",0.79,2017-2018,,
University of California - Berkeley,"Environmental Science, Policy, and Management","$28,000",1.01,2018-2019,,
University of Oregon (UO),Business,"$23,886",1.14,2019-2020,1st,
University of California - Berkeley,"Environmental Science, Policy, and Management","$26,000",0.94,2018-2019,2nd,
Louisiana State University - Baton Rouge,English,"$14,250",0.66,2018-2019,1st,
University of Texas - Austin (UT),English,"$16,787",0.74,2017-2018,5th,
University of California - Berkeley,"Environmental Science, Policy & Management","$22,000",0.79,2018-2019,6th and up,
Loyola University Chicago (LUC),Theology/Theology,"$18,000",0.74,2018-2019,,Health and dental insurance included also in financial package.
Louisiana State University - Baton Rouge,English,"$14,750",0.68,2018-2019,,
Johns Hopkins University (JHU),Physics & Astronomy,"$32,833",1.28,2018-2019,2nd,"Health, vision and dental insurance included"
University of California - Berkeley,Geography,"$30,500",1.10,2018-2019,1st,
University of California - Berkeley,"Environmental Science, Policy, and Management","$28,500",1.03,2018-2019,6th and up,
University of Maryland - College Park (UMD),Computer Science,"$31,900",1.05,2019-2020,1st,
University of California - Berkeley,"Environmental Science, Policy, and Management","$16,200",0.58,2018-2019,5th,
California Institute of Technology (Caltech),Mechanical and Civil Engineering,"$36,000",1.39,2019-2020,1st,
University of California - Berkeley,"Environmental Science, Policy, & Management","$34,000",1.22,2018-2019,3rd,This is from an NSF GRFP before taxes
Northeastern University (NU),History,"$29,100",1.02,2018-2019,4th,"standard student healthcare, dental ""discount"" instead of insurance. Payrate set by the college (CSSH). Department provides internal funding as it can for research and conference travel. Summer funding is NOT guaranteed. Only those who've passed their comps are eligible to teach and it depends on if you will be available and able to do it. Usually 3rd years on up are the ones doing it. There's rumblings eventually the college will make summer funding guaranteed but they are extremely slow so don't count on it. It's $6k per summer semester and there's two summer semesters. I haven't heard of anyone teaching both summer semesters (usually you're off doing research.) So summer is starving time generally if you haven't lined up work or doing research by this point. It's a great department, hampered by terrible high university administration who should be all fired."
University of Colorado - Boulder (UCB),Communication,"$26,000",1.02,2018-2019,1st,
University of Georgia (UGA),Psychology,"$11,000",0.52,2019-2020,1st,
University of California - Davis (UCD),Population Biology,"$26,612",1.11,2019-2020,1st,
University of Illinois - Urbana- Champaign (UIUC),History,"$17,500",0.80,2018-2019,6th and up,
University of California - Berkeley,Geography,"$26,500",0.95,2018-2019,5th,
,,"$25,000",,2018-2019,,
University of Texas - Austin (UT),English,"$19,600",0.86,2018-2019,5th,
University of Minnesota - Twin Cities (UM),Agronomy and Plant Genetics,"$20,880",0.91,2018-2019,4th,Other entry in Agronomy and Plant Genetics would include tuition and health benefits. It does not represent gross pay alone.
New York University (NYU),Sociology,"$35,000",1.18,2018-2019,1st,
Northeastern University (NU),Sociology,"$22,200",0.78,2018-2019,5th,
University of Minnesota - Twin Cities (UM),Entomology,"$22,214",0.97,2018-2019,4th,PhD
University of Minnesota - Twin Cities (UM),Entomology,"$22,214",0.97,2018-2019,4th,
North Carolina State University (NCSU),Electrical and Computer Engineering,"$24,000",1.05,2019-2020,1st,offered RA.
University of Central Florida (UCF),Biomedical Sciences,"$25,000",1.08,2019-2020,1st,
University of Florida (UF),College of Journalism and Communications,"$34,220",1.51,2019-2020,1st,"Graduate School Preeminence Award amount. Includes health coverage. Base stipend is $27,000 for nine months."
University of Oregon (UO),Biology,"$25,819",1.23,2017-2018,6th and up,health insurance is very good and like $20/month
Oregon State University (OSU),Anthropology,"$12,939",0.62,2017-2018,2nd,
Oregon State University (OSU),Anthropology,$949,0.05,2017-2018,2nd,.3 FTE (which is the norm in this department)
University of California - San Francisco (UCSF),Biomedical Sciences (BMS),"$40,000",1.34,2019-2020,1st,
University of California - San Diego (UCSD),Clinical psychology,"$24,816",0.94,2019-2020,1st,
Cornell University (CU),Computer science,"$27,150",1.12,2018-2019,1st,
University of Minnesota - Twin Cities (UM),Computer Science,"$24,400",1.06,2018-2019,2nd,
Washington State University (WSU),Food Science,"$18,225",0.96,2018-2019,2nd,Includes insurance. At a satellite campus (Tri-Cities).
Duke University (DU),Civil/Environmental Engineering PhD,"$31,800",1.43,2019-2020,1st,Health insurance premiums paid for by university; no dental
University at Buffalo - SUNY,English,"$17,400",0.83,2019-2020,1st,Base stipend of $15K plus an additional $4K as a department fellow.
Arizona State University,Religious Studies,"$17,502",,2018-2019,3rd,
Arizona State University (ASU),School for the Future of Innovation in Society,"$16,357",0.74,2018-2019,2nd,
Pennsylvania State University (Penn State),IST,"$29,100",1.30,2019-2020,1st,
Florida International University (FIU),Developmental Science - Psychology,"$19,194",0.81,2019-2020,,
Purdue University - West Lafayette,Human Development and Family Studies,"$17,300",0.82,2019-2020,1st,
Ohio State University (OSU),Chemistry,"$29,500",1.47,2019-2020,,
University of Minnesota - Twin Cities (UM),Chemistry,"$26,600",1.16,2019-2020,,
University of Minnesota - Twin Cities (UM),Chemistry,"$26,600",1.16,2019-2020,,
University of Illinois - Urbana- Champaign (UIUC),Biology,"$25,000",1.14,2019-2020,,
University of Illinois - Urbana- Champaign (UIUC),Biology,"$25,000",1.14,2019-2020,,
University of Illinois - Urbana- Champaign (UIUC),Biology,"$28,000",1.27,2019-2020,,
University of Southern California (USC),Chemistry,"$32,000",1.24,2019-2020,,
University of Southern California (USC),Chemistry,"$32,000",1.24,2019-2020,,
University of California - San Diego (UCSD),Chemistry,"$31,000",1.17,2019-2020,,
University of California - Santa Barbara (UCSB),Earth Science,"$20,000",0.76,2018-2019,2nd,
University of North Carolina - Chapel Hill (UNC),Sociology,"$9,002",0.41,2018-2019,2nd,
University of North Carolina - Chapel Hill (UNC),Sociology,"$9,002",0.41,2018-2019,2nd,
Brandeis University,Musicology,"$24,500",0.88,2019-2020,1st,
Syracuse University,Religion,"$20,300",0.95,2019-2020,1st,
University of Virginia (UVA),Religious Studies,"$24,000",1.05,2019-2020,1st,
The Catholic University of America,Theology & Religious Studies,"$18,000",0.58,2019-2020,1st,
University of California - Davis (UCD),Philosophy,"$20,653",0.86,2018-2019,1st,These are last years numbers and they are expected to be the same or slightly higher next year.
University of Iowa (UI),neuroscience,"$23,600",1.06,2019-2020,,
University of Illinois - Urbana- Champaign (UIUC),Molecular and cellular biology,"$22,000",1.00,2019-2020,,
University of Delaware (UD),Biological Sciences,"$26,666",1.05,2019-2020,1st,
University of Arkansas - Fayetteville,Geosciences,"$36,100",1.81,2019-2020,1st,
Loyola University Chicago (LUC),Biomedical Sciences,"$30,000",1.24,2019-2020,1st,
George Washington University (GW),Electrical and Computer Engineering,"$22,500",0.73,2018-2019,2nd,RA
University of Massachusetts - Amherst (UMass),Linguistics,"$23,659",1.03,2019-2020,1st,This is the minimum amount guaranteed in the informal acceptance email. Official funding offer has not arrived yet.
University of Pittsburgh,pharmacy,"$27,550",1.33,2018-2019,,
University of Washington (UW),Computer Science and Engineering,"$27,000",1.16,2019-2020,1st,
Yale University (YU),Spanish and Portuguese,"$31,800",1.29,2019-2020,1st,
Harvard University (HU),Romance Languages and Literatures,"$35,676",1.25,2019-2020,1st,
Ohio State University (OSU),Portuguese,"$17,442",0.87,2019-2020,1st,
University of Iowa (UI),Sociology,"$24,500",1.10,2018-2019,1st,Base stipend + 2 fellowships
University of Michigan - Ann Arbor (UM),PCB,"$30,000",1.30,2018-2019,1st,
University of North Carolina - Chapel Hill (UNC),BBSP,"$32,000",1.44,2019-2020,1st,
,,"$32,000",,2018-2019,,
Brown University,Anthropology,"$31,519",1.39,2019-2020,1st,
CUNY Graduate School and University Center,Earth and Environmental Sciences,"$25,000",0.84,2019-2020,1st,
Tulane University (TU),Chemistry,"$26,000",1.13,2019-2020,1st,
Syracuse University,Human development and family science,"$15,150",0.71,2018-2019,1st,"20 hours per week, teacher at preschool"
The University of Manchester,Economics,"$26,820",,2018-2019,2nd,
Harvard University (HU),Linguistics,"$35,676",1.25,2019-2020,1st,"I had posted an earlier result about the total 1st yr stipend being 33,730 USD for 2019-2020. That was the approximate amount told to me during my informal acceptance. But the actual stipend offer I received in my official acceptance letter is 35676 USD."
University of Texas - Dallas (UTD),Bioengineering/PhD,"$19,900",0.92,2018-2019,2nd,"This is only the stipend, assistantships also cover the cost of tuition up to 12 credits."
Ball State University (BSU),"Counseling Psychology, Social Psychology, and Mental Health Counseling","$6,500",0.32,2018-2019,1st,
Harvard University (HU),Education,"$39,676",1.39,2019-2020,1st,"$29,730 base academic year stipend + $5,946 summer award + $4000 presidential scholarship. No TA-ing responsibilities until 3rd year."
University of California - Irvine (UCI),Political science,"$21,000",0.72,2018-2019,,
University of California - Los Angeles (UCLA),Ethnomusicology,"$21,000",0.81,2019-2020,1st,
University of North Carolina - Chapel Hill (UNC),BBSP,"$32,000",1.44,2019-2020,1st,
Princeton University,Political Science,"$36,500",1.44,2019-2020,1st,
Arizona State University (ASU),School of Molecular Sciences,"$22,874",1.03,2017-2018,5th,The stipend amount has been unchanged since at least 2014
University of Florida (UF),Geology,"$19,800",0.87,2019-2020,1st,
Harvard University (HU),Economics,"$38,000",1.33,2019-2020,1st,
University of Southern California (USC),Epidemiology,"$35,000",1.35,2019-2020,1st,
University College Dublin,Machine Learning,"$18,500",,2019-2020,1st,Stipend is tax free and in euro
Harvard University (HU),MCB,"$39,528",1.38,2018-2019,,
University of Wisconsin - Milwaukee (UWM),psychology,"$17,550",0.82,2018-2019,1st,
University of South Florida (UCF),Sociology,"$16,700",0.76,2018-2019,3rd,
,Biology,"$38,000",,2018-2019,1st,
,Biology,"$38,000",,2018-2019,1st,
Michigan State University (MSU),Political Science,"$25,000",1.22,2018-2019,1st,
University of Washington (UW),Statistics,"$22,644",0.97,2019-2020,1st,Also comes with a $5k initial award as an incentive to join.
University of California - Los Angeles (UCLA),Statistics,"$21,000",0.81,2019-2020,1st,Also comes with a $7k initial award as an incentive to join.
University of California - Irvine (UCI),Statistics,"$20,793",0.71,2019-2020,1st,
North Carolina State University (NCSU),Statistics,"$18,750",0.82,2019-2020,1st,
University of Florida (UF),Statistics,"$20,000",0.88,2019-2020,1st,
Stony Brook University - SUNY,computer science,"$40,000",1.43,2019-2020,1st,"TA(~20), Fellowship(1st yr only, 10k), summer RA(10k)"
Stanford University (SU),Education,"$44,846",1.56,2019-2020,1st,"$38, 346 in in salary/stipend; an additional $6,500 for fellowship"
,,"$23,760",,2018-2019,,
University of Arizona (U of A),Biochemistry,"$25,000",1.21,2019-2020,1st,
University of Arizona (U of A),Biochemistry,"$25,000",1.21,2018-2019,1st,
University of Arizona (U of A),Biochemistry,"$24,500",1.18,2018-2019,1st,
University of California - Santa Cruz,Biomolecular Engineering And Bioinformatics (BMEB),"$33,836",1.25,2019-2020,1st,
University of California - Berkeley,Earth Planetary Science,"$39,173",1.41,2018-2019,,
Texas A&amp;M; University - College Station,Biology,"$26,400",,2019-2020,,
Boston University (BU),Romance Studies,"$23,000",0.80,2019-2020,1st,
Princeton University,demography,"$34,400",1.35,2019-2020,1st,
Stanford University (SU),Sociology,"$37,772",1.31,2018-2019,1st,"Note that one-bedroom couples' housing rent is ~$2,000/month."
Utah State University (USU),Biology,"$24,000",1.16,2019-2020,1st,
University of Central Florida (UCF),Biology,"$11,500",0.50,2018-2019,3rd,Summer depends on your PI's ability to fund you. There are fees that are ~ 1000 dollars per semester unless you're in thesis or dissertation hours then it goes down to ~300. Health insurance is included (no dental or vision)
Boston University (BU),Physics,"$33,000",1.15,2018-2019,6th and up,
Old Dominion University (ODU),department of biological sciences,"$15,000",0.56,2018-2019,1st,
University of Michigan - Ann Arbor (UM),Sociology,"$28,778",1.25,2019-2020,1st,Plus health and dental insurance.
University of Texas - Austin (UT),Sociology,"$24,184",1.06,2019-2020,1st,
University of Wisconsin - Madison (UW),Computer Science,"$22,359",0.98,2018-2019,1st,20k TAship + 3k scholarship + health benefits
University of Florida (UF),Social Psychology,"$21,100",0.93,2019-2020,,"19100 base and 2000 for a ""Grinter"" award."
University of Colorado - Boulder (UCB),Atmospheric and Ocean Science,"$20,451",0.80,2018-2019,1st,
Carnegie Mellon University (CMU),Economics,"$26,800",1.29,2018-2019,2nd,"You will always have 27,000 net pay however, it will be met with increasing responsibilities: stipend decreases every year by about 3,000-4,000 while you take on RA and TA work. Base pay is 19k implying you take on $8,000 of paid work required fees are from student orgs and other things for campus activities and student id being a bus pass, and some other things. Wonderful program. If you got an offer remember one thing: small programs mean better mentorship which directly affects job market placement. Don't just look at USN ranks."
University of Wisconsin - Milwaukee (UWM),Epidemiology,"$15,000",0.70,2018-2019,1st,
Georgia State University (GSU),Finance,"$30,000",1.29,2018-2019,,"renewable for 3 years, then ~$20,000 salary for 4th/5th years"
University of Alabama (UA),Marketing,"$18,000",0.86,2018-2019,1st,
University of Michigan - Ann Arbor (UM),Sociology,"$24,710",1.07,2019-2020,1st,Funding from pop center
Duke University (DU),Economics,"$29,350",1.32,2019-2020,1st,
Yale University (YU),Economics,"$40,000",1.62,2019-2020,1st,
University of Chicago (UC),Economics,"$39,000",1.61,2019-2020,1st,
Washington University in St. Louis (Wash U),Computer Science,"$30,000",1.45,2019-2020,1st,
Rice University,Political Science,"$25,600",1.17,2019-2020,1st,
Scripps Research Institute (SRI),immunology,"$33,000",1.25,2018-2019,,
Washington University in St. Louis (Wash U),immunology,"$30,500",1.48,2018-2019,,
Washington University in St. Louis (Wash U),immunology,"$30,500",1.48,2018-2019,,
Emory University,Sociolgoy,"$33,500",1.44,2019-2020,1st,Awarded Laney scholarship.
